col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,mapeo osm estados,mapeo osm municipios,mapeo osm colonia,NUEVO MAPEO OSM,Es el mismo mapeo?
50,Aceh,,aceh,,2,,4.4788477;96.789561,,lamudi-ID-50,R2390836,R2390836,#N/A,#N/A,R2390836,TRUE
51,Bali,,bali,,2,,-8.4501912;115.2193244,,lamudi-ID-51,R1615621,R1615621,#N/A,#N/A,R1615621,TRUE
52,Bangka-Belitung,,bangka-belitung,,2,,-2.330039;106.5879586,,lamudi-ID-52,R3797243,R3797243,#N/A,#N/A,R3797243,TRUE
53,Banten,,banten,,2,,-6.2616353;106.2421683,,lamudi-ID-53,R2388356,R2388356,#N/A,#N/A,R2388356,TRUE
54,Bengkulu,,bengkulu,,2,,-3.6655381;102.3610248,,lamudi-ID-54,R2390837,R2390837,#N/A,#N/A,R2390837,TRUE
55,Jawa Tengah,,jawa-tengah,,2,,-7.2598699;110.1889125,,lamudi-ID-55,R2388357,R2388357,#N/A,#N/A,R2388357,TRUE
56,Kalimantan Tengah,,kalimantan-tengah,,2,,-2.0797229;113.783962,,lamudi-ID-56,R2388613,R2388613,#N/A,#N/A,R2388613,TRUE
57,Sulawesi Tengah,,sulawesi-tengah,,2,,-0.7801636;121.1945443,,lamudi-ID-57,R2388664,R2388664,#N/A,#N/A,R2388664,TRUE
58,Jawa Timur,,jawa-timur,,2,,-7.6304182;112.4653864,,lamudi-ID-58,R3438227,R3438227,#N/A,#N/A,R3438227,TRUE
59,Kalimantan Timur,,kalimantan-timur,,2,,-0.4911461;116.943909,,lamudi-ID-59,R5449459,R5449459,#N/A,#N/A,R5449459,TRUE
60,Kalimantan Utara,,kalimantan-utara,,2,,3.6257218;117.4290023,,lamudi-ID-60,,R9884462,#N/A,#N/A,R9884462,FALSE
61,Nusa Tenggara Timur,,nusa-tenggara-timur,,2,,-9.0901404;121.2817224,,lamudi-ID-61,R2396778,R2396778,#N/A,#N/A,R2396778,TRUE
62,Gorontalo,,gorontalo,,2,,0.5605946;122.6941628,,lamudi-ID-62,R2388665,R2388665,#N/A,#N/A,R2388665,TRUE
63,Jakarta,,jakarta,,2,,-6.1893278;106.8552052,,lamudi-ID-63,R6362934,R6362934,#N/A,#N/A,R6362934,TRUE
64,Jambi,,jambi,,2,,-1.7532814;102.6568182,,lamudi-ID-64,R2390838,R2390838,#N/A,#N/A,R2390838,TRUE
65,Lampung,,lampung,,2,,-4.6981049;105.4809315,,lamudi-ID-65,R2390839,R2390839,#N/A,#N/A,R2390839,TRUE
66,Maluku,,maluku,,2,,-4.6348593;130.1190379,,lamudi-ID-66,R2396795,R2396795,#N/A,#N/A,R2396795,TRUE
67,Maluku Utara,,maluku-utara,,2,,0.3863365;127.4831571,,lamudi-ID-67,R2396796,R2396796,#N/A,#N/A,R2396796,TRUE
68,Sulawesi Utara,,sulawesi-utara,,2,,1.1935344;124.4673483,,lamudi-ID-68,R2388666,R2388666,#N/A,#N/A,R2388666,TRUE
69,Sumatra Utara,,sumatra-utara,,2,,2.4148714;98.8287698,,lamudi-ID-69,,R2390843,#N/A,#N/A,R2390843,FALSE
70,Papua,,papua,,2,,-4.0009449;138.4011267,,lamudi-ID-70,R4521144,"R4521144,R14309178,R14309176",#N/A,#N/A,"R4521144,R14309178,R14309176",FALSE
71,Riau,,riau,,2,,0.5509271;101.7789784,,lamudi-ID-71,R2390840,R2390840,#N/A,#N/A,R2390840,TRUE
