aws_region_name,aws_sub_region_name,aws_municipality_name,aws_neighborhood_name
"",Jawa Tengah,Cilacap,Kroya
"",Jawa Barat,Cirebon Kabupaten,Tengah Tani
"",Sulawesi Utara,Minahasa Utara,Likupang Timur
"",Sulawesi Tenggara,Konawe Selatan,Moramo
"",Jawa Tengah,Cilacap,Bantarsari
JABODETABEK,Banten,Tangerang,Solear
"",Lampung,Way Kanan,Way Kanan
"",Kalimantan Tengah,Seruyan,Seruyan Raya
"",Jawa Timur,Banyuwangi,Purwoharjo
"",Sumatera Utara,Tebingtinggi,Bajenis
"",Aceh,Langsa,Langsa Lama
Bandung Raya,Jawa Barat,Bandung Kabupaten,Majalaya
JABODETABEK,Banten,Tangerang Kabupaten,Legok
"",Bali,Gianyar,Blahbatuh
"",Sumatera Utara,Karo,Barusjahe
"",Jawa Timur,Lamongan,Pucuk
"",Jawa Tengah,Karanganyar,Gondangrejo
"",Jawa Tengah,Klaten,Ceper
JABODETABEK,Jawa Barat,Cikarang,Cibitung
"",Jawa Barat,Bogor Kabupaten,Cigombong
"",Kalimantan Selatan,Tanah Bumbu,""
"",Jawa Tengah,Semarang Kabupaten,Ungaran Timur
"",Bali,Jembrana,Melaya
"",Jawa Timur,Madiun Kabupaten,Pilangkenceng
"",Jawa Timur,Jombang,Ngoro
"",Kalimantan Barat,Pontianak,Pontianak Timur
"",Banten,Lebak,Cihara
"",Jawa Tengah,Tegal Kabupaten,Margasari
"",Jawa Timur,Ponorogo,Kauman
"",Jawa Tengah,Tegal Kabupaten,Pagerbarang
"",Kalimantan Timur,Kutai Kartanegara,Tenggarong Seberang
"",Jawa Tengah,Brebes,Losari
"",Jawa Timur,Pasuruan,Wonorejo
Bandung Raya,Jawa Barat,Bandung,Batununggal
"",Jawa Tengah,Kebumen,Alian
"",Sulawesi Utara,Tomohon,Tomohon Tengah
"",Papua Pegunungan,Yahukimo,""
"",Jawa Timur,Blitar Kabupaten,Talun
"",Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Selatan
"",Kalimantan Timur,Kutai Barat,""
"",Jawa Timur,Jember,Tempurejo
"",Jawa Timur,Madiun Kota,Taman
"",Jawa Barat,Karawang,Karawang Barat
"",Jawa Timur,Mojokerto Kabupaten,Trowulan
JABODETABEK,DKI Jakarta,Jakarta Pusat,Menteng
"",Jawa Tengah,Semarang Kota,Banyumanik
JABODETABEK,Banten,Tangerang Kabupaten,Rajeg
"",Jawa Tengah,Kudus,Mejobo
"",Banten,Serang Kabupaten,Kragilan
Bandung Raya,Jawa Barat,Bandung Kabupaten,Kutawaringin
"",Sulawesi Selatan,Maros,Moncongloe
"",Jawa Tengah,Batang,Tulis
"",Jawa Tengah,Pekalongan Kota,Pekalongan Utara
JABODETABEK,Jawa Barat,Bekasi,Tambun Selatan
"",Jawa Tengah,Purworejo,Kutoarjo
"",Kepulauan Riau,Bintan,Toapaya
"",Jawa Barat,Cianjur,Karangtengah
"",Jawa Timur,Sumenep,Saronggi
"",Banten,Serang,Walantaka
"",Banten,Serang,Baros
"",Jawa Timur,Probolinggo Kota,Kanigaran
"",Jawa Tengah,Rembang,Lasem
"",Sulawesi Selatan,Bone,Cina
"",Kalimantan Tengah,Kotawaringin Timur,Antang Kalang
"",Riau,Kampar,Bangkinang Kota
"",Jawa Timur,Ngawi,Sine
"",Jawa Tengah,Brebes,Banjarharjo
"",Jawa Timur,Tulungagung,Kalidawir
"",Riau,Indragiri Hulu,Seberida
"",Jawa Timur,Batu,Junrejo
"",Jawa Timur,Mojokerto Kabupaten,Pacet
"",Banten,Tangerang Kota,Benda
"",Sumatera Selatan,Palembang,Seberang Ulu I
"",Jawa Timur,Jombang,Gudo
"",Jawa Timur,Gresik,Ujungpangkah
"",Kepulauan Riau,Lingga,Singkep Barat
"",Jawa Barat,Garut,Blubur Limbangan
"",Jawa Tengah,Banyumas,Tambak
"",Kalimantan Timur,Berau,Gunung Tabur
"",Daerah Istimewa Yogyakarta,Gunung Kidul,Rongkop
"",Jawa Barat,Indramayu,Sliyeg
"",Sulawesi Tengah,Parigi Moutong,Parigi
"",Jawa Timur,Lumajang,Ranuyoso
"",Jawa Tengah,Pati,Cluwak
"",Sulawesi Tenggara,Kendari,Kambu
Bandung Raya,Jawa Barat,Bandung Kota,Coblong
JABODETABEK,Jawa Barat,Bekasi Kota,Rawalumbu
"",Daerah Istimewa Yogyakarta,Bantul,Piyungan
JABODETABEK,Jawa Barat,Bogor Kabupaten,Bojong Gede
JABODETABEK,Jawa Barat,Depok,Bojongsari
"",Jawa Timur,Sidoarjo,Candi
JABODETABEK,Banten,Tangerang Kabupaten,Kelapa Dua
JABODETABEK,DKI Jakarta,Jakarta Pusat,Gambir
"",Bali,Klungkung,Banjarangkan
"",Jawa Timur,Pasuruan Kabupaten,Prigen
JABODETABEK,Jawa Barat,Bogor,Bogor Barat
Bandung Raya,Jawa Barat,Bandung Kabupaten,Margaasih
"",Sulawesi Utara,Minahasa,Tombulu
JABODETABEK,Jawa Barat,Bekasi Kabupaten,Karang Bahagia
"",Kalimantan Timur,Samarinda,Samarinda Kota
"",Jawa Barat,Subang,Sagalaherang
"",Jawa Timur,Bojonegoro,Baureno
"",Jawa Barat,Cirebon Kota,Lemahwungkuk
"",Banten,Pandeglang,Cigeulis
Bandung Raya,Jawa Barat,Cimahi,""
"",Sumatera Utara,Simalungun,Dolok Pardamean
JABODETABEK,DKI Jakarta,Jakarta,Penjaringan
"",Lampung,Pesisir Barat,Pesisir Selatan
"",Jawa Timur,Mojokerto,Prajurit Kulon
JABODETABEK,Jawa Barat,Bogor,Bojong Gede
"",Kalimantan Timur,Kutai Barat,Nyuatan
"",Sulawesi Barat,Majene,Banggae Timur
"",Banten,Tangerang Selatan,Serpong Utara
"",Jawa Timur,Malang Kabupaten,Gedangan
"",Jawa Timur,Sidoarjo,Prambon
"",Daerah Istimewa Yogyakarta,Yogyakarta,Pakualaman
JABODETABEK,DKI Jakarta,Jakarta Timur,Matraman
"",Banten,Tangerang Kota,Larangan
"",Riau,Pekanbaru,Bukit Raya
"",Riau,Pekanbaru,Sukajadi
"",Sumatera Utara,Deli Serdang,Galang
"",Sumatera Utara,Labuhanbatu,Rantau Utara
"",Jawa Barat,Karawang,Tegalwaru
"",Jawa Tengah,Tegal Kabupaten,Lebaksiu
"",Jawa Timur,Lumajang,Padang
"",Jawa Barat,Cirebon Kabupaten,Gunungjati
JABODETABEK,DKI Jakarta,Jakarta,Tanjung Priok
JABODETABEK,DKI Jakarta,Jakarta,Kembangan
"",Jawa Tengah,Grobogan,Grobogan
"",Jawa Tengah,Pati,Juwana
"",Jawa Tengah,Pemalang,Pulosari
"",Lampung,Pringsewu,Sukoharjo
"",Jawa Timur,Probolinggo Kabupaten,Gending
"",Jawa Barat,Sumedang,Buahdua
"",Sumatera Barat,Padang Pariaman,Batang Anai
"",Sumatera Barat,Payakumbuh,Payakumbuh Barat
"",Jawa Barat,Sukabumi Kabupaten,Nagrak
"",Jawa Timur,Pasuruan Kabupaten,Lumbang
"",Jawa Tengah,Purworejo,Pituruh
"",Riau,Dumai,Bukit Kapur
JABODETABEK,Banten,Tangerang,Sepatan Timur
"",Jawa Timur,Surabaya,Sawahan
"",Banten,Tangerang Selatan,Pondok Aren
"",Jawa Barat,Bekasi Kota,Bekasi Barat
"",DKI Jakarta,Jakarta Selatan,Pesanggrahan
"",Daerah Istimewa Yogyakarta,Sleman,""
"",Jawa Tengah,Boyolali,Simo
"",Banten,Lebak,Maja
"",Sumatera Utara,Medan,Medan Area
"",Sumatera Utara,Binjai,Binjai Kota
"",Kalimantan Tengah,Kapuas,""
"",Jawa Barat,Tasikmalaya Kota,Cipedes
"",Kalimantan Barat,Pontianak Kabupaten,Siantan
"",Daerah Istimewa Yogyakarta,Gunung Kidul,Patuk
JABODETABEK,Banten,Tangerang Kabupaten,Jambe
"",Sumatera Utara,Samosir,""
"",Jawa Timur,Probolinggo Kabupaten,Paiton
"",Lampung,Lampung Selatan,Tanjung Sari
"",Nusa Tenggara Timur,Ende,Ende Timur
"",Jawa Timur,Trenggalek,Gandusari
"",Banten,Serang Kabupaten,Carenang
"",Sulawesi Utara,Minahasa Tenggara,Tombatu
"",Jawa Timur,Situbondo,Bungatan
"",Sumatera Barat,Solok,Danau Kembar
"",Nusa Tenggara Timur,Rote Ndao,Rote Tengah
"",Kalimantan Selatan,Tapin,""
"",Sumatera Selatan,Ogan Komering Ulu Selatan,Muaradua
"",Lampung,Lampung Tengah,Seputih Mataram
"",Jawa Timur,Surabaya,Wonokromo
"",Bali,Denpasar,Denpasar Barat
"",Daerah Istimewa Yogyakarta,Yogyakarta,Gondokusuman
"",Jawa Timur,Malang Kabupaten,Turen
"",Jawa Timur,Malang Kabupaten,Poncokusumo
"",Lampung,Bandar Lampung,Kedamaian
Bandung Raya,Jawa Barat,Bandung Kota,Babakan Ciparay
"",Jawa Barat,Bekasi Kabupaten,Tarumajaya
"",Jawa Timur,Bangkalan,Geger
"",Nusa Tenggara Barat,Lombok Utara,Tanjung
"",Jawa Timur,Blitar Kabupaten,Kesamben
Bandung Raya,Jawa Barat,Bandung,Margahayu
"",Jawa Tengah,Kendal,Kendal
"",Jawa Tengah,Magelang Kabupaten,Mungkid
"",Jawa Timur,Mojokerto Kota,Prajurit Kulon
"",Jawa Timur,Malang Kabupaten,Pagak
"",Jawa Tengah,Pekalongan Kabupaten,Karangdadap
JABODETABEK,DKI Jakarta,Jakarta,Gambir
"",Nusa Tenggara Timur,Rote Ndao,""
"",Nusa Tenggara Barat,Sumbawa Barat,Maluk
JABODETABEK,Banten,Tangerang,Pagedangan
"",Jawa Tengah,Tegal Kabupaten,Balapulang
"",Sulawesi Selatan,Barru,""
"",Jawa Barat,Banjar,Purwaharja
"",Jawa Timur,Probolinggo,Wonoasih
"",Sumatera Selatan,Muara Enim,Ujan Mas
"",Papua,Jayapura Kota,Jayapura Utara
JABODETABEK,DKI Jakarta,Jakarta Utara,Penjaringan
"",Sumatera Utara,Deli Serdang,Deli Tua
JABODETABEK,Jawa Barat,Bekasi Kabupaten,Tambun Selatan
"",Jawa Tengah,Temanggung,""
"",Jawa Barat,Bandung Kota,Cidadap
JABODETABEK,Banten,Tangerang Selatan,Ciputat Timur
"",Jawa Timur,Malang Kabupaten,Wagir
"",Jawa Tengah,Boyolali,Ngemplak
"",Kepulauan Bangka Belitung,Belitung,Badau
"",Banten,Tangerang Kota,Batuceper
"",Jawa Barat,Bogor Kabupaten,Citeureup
"",Jawa Timur,Banyuwangi,""
"",Jawa Tengah,Pemalang,Petarukan
"",Nusa Tenggara Barat,Lombok Timur,Sambelia
"",Jawa Tengah,Tegal,Adiwerna
"",Jawa Timur,Kediri Kabupaten,Pagu
"",Kalimantan Barat,Kapuas Hulu,Putussibau Selatan
"",Papua,Waropen,""
"",Lampung,Metro,Metro Timur
"",Sumatera Barat,Padang,""
"",Sumatera Utara,Labuhanbatu Utara,Marbau
"",Jawa Barat,Garut,Pakenjeng
"",Sulawesi Tenggara,Kendari,Kendari
"",Kalimantan Tengah,Katingan,Katingan Hilir
"",Jawa Barat,Sumedang,Surian
"",Sumatera Utara,Tapanuli Tengah,""
"",Sumatera Utara,Serdang Bedagai,Pegajahan
"",Kalimantan Barat,Pontianak,""
"",Daerah Istimewa Yogyakarta,Sleman,Moyudan
Bandung Raya,Jawa Barat,Bandung Kota,Rancasari
JABODETABEK,Banten,Tangerang Kota,Jatiuwung
"",Jawa Barat,Cirebon Kabupaten,Talun
JABODETABEK,Banten,Tangerang Kota,Larangan
"",Daerah Istimewa Yogyakarta,Yogyakarta,Gedong Tengen
"",Jawa Barat,Tasikmalaya Kabupaten,Jatiwaras
"",Jawa Tengah,Semarang,""
"",Jawa Timur,Lamongan,Sugio
"",Banten,Pandeglang,Pulosari
"",Sulawesi Utara,Minahasa Utara,Airmadidi
"",Jawa Tengah,Jepara,Batealit
"",Lampung,Pringsewu,Gading Rejo
"",Sulawesi Tengah,Morowali,""
Bandung Raya,Jawa Barat,Bandung,Cipatat
"",Papua Barat Daya,Sorong,Sorong
"",Nusa Tenggara Barat,Lombok Timur,Suela
"",Jawa Timur,Probolinggo Kabupaten,Tongas
"",Bengkulu,Rejang Lebong,""
"",Jawa Tengah,Jepara,Pecangan
"",Riau,Kampar,Tambang
"",Nusa Tenggara Barat,Bima,Palibelo
JABODETABEK,Banten,Tangerang Kabupaten,""
"",Nusa Tenggara Barat,Lombok Tengah,Praya Barat Daya
"",Jawa Barat,Bekasi,Bekasi Utara
"",Kalimantan Selatan,Tanah Laut,Kintap
"",DKI Jakarta,Jakarta Selatan,Pancoran
"",Jawa Barat,Bekasi Kota,Jatisampurna
"",Jawa Barat,Bandung Kabupaten,Katapang
"",Jawa Timur,Mojokerto Kabupaten,Kemlagi
"",Jawa Timur,Jember,Sukorambi
"",Banten,Tangerang Kabupaten,Sukadiri
"",Jawa Timur,Pasuruan Kabupaten,Kraton
"",Jawa Tengah,Karanganyar,Jumapolo
"",Jawa Tengah,Kendal,Ringinarum
"",Jawa Barat,Purwakarta,Sukatani
"",Jawa Timur,Kediri Kabupaten,Mojo
"",Kalimantan Tengah,Palangka Raya,Jekan Raya
"",Aceh,Banda Aceh,Baiturrahman
"",Jawa Tengah,Semarang Kabupaten,Suruh
"",Jawa Tengah,Kendal,Limbangan
"",Sumatera Utara,Langkat,Wampu
"",Kepulauan Bangka Belitung,Pangkalpinang,Gerunggang
"",Jawa Timur,Nganjuk,Ngronggot
JABODETABEK,Banten,Tangerang,Teluknaga
"",Jawa Timur,Probolinggo Kabupaten,Sukapura
"",Jawa Tengah,Purbalingga,Rembang
"",Nusa Tenggara Timur,Manggarai,Langkerembong
"",Jawa Barat,Garut,Bungbulang
"",Aceh,Aceh Utara,Samudera
"",Bengkulu,Bengkulu Utara,Pinang Raya
"",Jawa Timur,Tulungagung,Besuki
"",Lampung,Pesawaran,Way Lima
"",Jawa Timur,Jember,Wuluhan
"",Sumatera Utara,Tapanuli Utara,Muara
"",Jawa Barat,Sumedang,Conggeang
"",Sumatera Utara,Langkat,""
"",Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Timur
"",Nusa Tenggara Barat,Sumbawa,Buer
"",Jawa Timur,Jember,Jenggawah
"",Jawa Tengah,Klaten,Delanggu
JABODETABEK,Banten,Tangerang Kota,Tangerang
"",DKI Jakarta,Jakarta Timur,Jatinegara
"",Jawa Tengah,Semarang,Banyumanik
"",Jawa Barat,Kuningan,Ciawigebang
"",Jawa Tengah,Tegal Kabupaten,Tarub
"",Jawa Barat,Ciamis,Cimaragas
"",Jawa Timur,Pamekasan,Tlanakan
"",Sulawesi Utara,Manado,Paal Dua
"",Jawa Timur,Jember,Rambipuji
"",Daerah Istimewa Yogyakarta,Kulon Progo,Kalibawang
"",Jawa Barat,Cirebon Kabupaten,Ciledug
"",Jawa Timur,Jombang,Plandaan
"",Jawa Tengah,Kebumen,Gombong
"",Jawa Tengah,Boyolali,Cepogo
"",Jawa Timur,Probolinggo,""
"",Jawa Timur,Kediri Kabupaten,Puncu
"",Jawa Tengah,Pati,Tlogowungu
JABODETABEK,DKI Jakarta,Jakarta,Johar Baru
"",Jawa Tengah,Kendal,Kangkung
"",Jawa Tengah,Kendal,Weleri
"",Jawa Barat,Garut,Karangtengah
"",Jawa Timur,Bojonegoro,Bubulan
"",Jawa Timur,Bojonegoro,Sumberejo
"",Jawa Timur,Pacitan,Pringkuku
"",Jawa Timur,Surabaya,Sukolilo
"",Daerah Istimewa Yogyakarta,Sleman,Depok
"",Jawa Timur,Surabaya,Pabean Cantian
JABODETABEK,Banten,Tangerang Kabupaten,Cikupa
"",Jawa Barat,Purwakarta,Babakancikao
"",Daerah Istimewa Yogyakarta,Bantul,Imogiri
JABODETABEK,DKI Jakarta,Jakarta Timur,Makasar
"",Jawa Barat,Bogor Kabupaten,Ciseeng
"",Kalimantan Timur,Balikpapan,Balikpapan Utara
"",Jawa Timur,Malang Kabupaten,Ampelgading
"",Jawa Tengah,Karanganyar,Jumantono
"",Jawa Tengah,Banyumas,Purwojati
"",Kepulauan Bangka Belitung,Bangka Tengah,Pangkalan Baru
"",Nusa Tenggara Barat,Lombok Barat,Gerung
