aws_region_name,aws_sub_region_name,aws_municipality_name,aws_neighborhood_name,display_name,search_method
"","Jawa Tengah","Cilacap","Kroya","Kroya, Stasiun, Kroya, Cilacap, Jawa Tengah, Jawa, 53282, Indonesia",""
"","Jawa Barat","Cirebon Kabupaten","Tengah Tani","Jalan Wanakaya Tengah Tani, Wanakaya, Kabupaten Cirebon, Jawa Barat, Jawa, 45151, Indonesia",""
"","Sulawesi Utara","Minahasa Utara","Likupang Timur","Likupang Dua, Minahasa Utara, Sulawesi Utara, Sulawesi, Indonesia",""
"","Sulawesi Tenggara","Konawe Selatan","Moramo","Moramo, Konawe Selatan, Sulawesi Tenggara, Sulawesi, Indonesia",""
"","Jawa Tengah","Cilacap","Bantarsari","Bantarsari, Cilacap, Jawa Tengah, Jawa, Indonesia",""
"JABODETABEK","Banten","Tangerang","Solear","Solear, Kabupaten Tangerang, Banten, Jawa, 15370, Indonesia",""
"","Lampung","Way Kanan","Way Kanan","Way Kanan, Blambangan Umpu, Way Kanan, Lampung, Sumatera, Indonesia",""
"","Kalimantan Tengah","Seruyan","Seruyan Raya","Kantor Kecamatan Seruyan Raya, Seruyan, Kalimantan Tengah, Indonesia",""
"","Jawa Timur","Banyuwangi","Purwoharjo","Purwoharjo, Banyuwangi, Jawa Timur, Jawa, 68482, Indonesia",""
"","Sumatera Utara","Tebingtinggi","Bajenis","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Bajenis%2C+Tebingtinggi%2C+Sumatera+Utara","not_found"
"","Aceh","Langsa","Langsa Lama","Langsa Lama, Langsa, Aceh, Sumatera, Indonesia",""
"Bandung Raya","Jawa Barat","Bandung Kabupaten","Majalaya","Majalaya, Kabupaten Bandung, Jawa Barat, Jawa, 40382, Indonesia",""
"JABODETABEK","Banten","Tangerang Kabupaten","Legok","Legok, Kabupaten Tangerang, Banten, Jawa, 15820, Indonesia",""
"","Bali","Gianyar","Blahbatuh","Blahbatuh, Gianyar, Bali, Nusa Tenggara, 80752, Indonesia",""
"","Sumatera Utara","Karo","Barusjahe","Barusjahe, Karo, Sumatera Utara, Sumatera, Indonesia",""
"","Jawa Timur","Lamongan","Pucuk","Pucuk, Jalan Raya Lamongan - Babat, Kesambi, Lamongan, Jawa Timur, Jawa, 62257, Indonesia",""
"","Jawa Tengah","Karanganyar","Gondangrejo","Gondangrejo, Karanganyar, Jawa Tengah, Jawa, Indonesia",""
"","Jawa Tengah","Klaten","Ceper","Ceper, Klaten, Jawa Tengah, Jawa, 57465, Indonesia",""
"JABODETABEK","Jawa Barat","Cikarang","Cibitung","Rumah Sakit Dr. Abdul Radjak, Cibitung, Jalal KH. Fudholi, Cikarang Kota, Karangasih, Kab Bekasi, Jawa Barat, Jawa, 17520, Indonesia",""
"","Jawa Barat","Bogor Kabupaten","Cigombong","Cigombong, Kab Bogor, Jawa Barat, Jawa, 16110, Indonesia",""
"","Kalimantan Selatan","Tanah Bumbu","","Tanah Bumbu, Kalimantan Selatan, Indonesia",""
"","Jawa Tengah","Semarang Kabupaten","Ungaran Timur","Ungaran Sari Garmen(USG), Genuk Timur, Genuk Barat, Kabupaten Semarang, Jawa Tengah, Jawa, Indonesia",""
"","Bali","Jembrana","Melaya","Melaya, Jembrana, Bali, Nusa Tenggara, Indonesia",""
"","Jawa Timur","Madiun Kabupaten","Pilangkenceng","Pilangkenceng, Madiun, Jawa Timur, Jawa, 63154, Indonesia",""
"","Jawa Timur","Jombang","Ngoro","Ngoro, Jombang, Jawa Timur, Jawa, 61473, Indonesia",""
"","Kalimantan Barat","Pontianak","Pontianak Timur","Pontianak Timur, Pontianak, Kalimantan Barat, Indonesia",""
"","Banten","Lebak","Cihara","Cihara, Lebak, Banten, Jawa, Indonesia",""
"","Jawa Tengah","Tegal Kabupaten","Margasari","Margasari, Tegal, Jawa Tengah, Jawa, 52463, Indonesia",""
"","Jawa Timur","Ponorogo","Kauman","Kauman, Ponorogo, Jawa Timur, Jawa, 63416, Indonesia",""
"","Jawa Tengah","Tegal Kabupaten","Pagerbarang","Pagerbarang, Tegal, Jawa Tengah, Jawa, Indonesia",""
"","Kalimantan Timur","Kutai Kartanegara","Tenggarong Seberang","Jalan Poros Tenggarong - L2 Tenggarong Seberang, Loa Raya, Kutai Kartanegara, Kalimantan Timur, 75572, Indonesia",""
"","Jawa Tengah","Brebes","Losari","Losari, Brebes, Jawa Tengah, Jawa, 52255, Indonesia",""
"","Jawa Timur","Pasuruan","Wonorejo","Wonorejo, Pasuruan, Jawa Timur, Jawa, Indonesia",""
"Bandung Raya","Jawa Barat","Bandung","Batununggal","Batununggal, Kota Bandung, Jawa Barat, Jawa, Indonesia",""
"","Jawa Tengah","Kebumen","Alian","Alian, Kebumen, Jawa Tengah, Jawa, 54353, Indonesia",""
"","Sulawesi Utara","Tomohon","Tomohon Tengah","Polsek Tomohon Tengah, Jalan Raya Tomohon, Talete Dua, Tomohon, Sulawesi Utara, Sulawesi, 95415, Indonesia",""
"","Papua Pegunungan","Yahukimo","","Yahukimo, Papua Pegunungan, Western New Guinea, Indonesia",""
"","Jawa Timur","Blitar Kabupaten","Talun","Talun, 3, Talun, Blitar, Jawa Timur, Jawa, Indonesia",""
"","Nusa Tenggara Timur","Sumba Barat Daya","Wewewa Selatan","SMPN. 1 Wewewa Utara, jalan pegerasan, Mali Mada, Sumba Barat Daya, Nusa Tenggara Timur, Nusa Tenggara, Indonesia","without_Selatan"
"","Kalimantan Timur","Kutai Barat","","Kutai Barat, Kalimantan Timur, Indonesia",""
"","Jawa Timur","Jember","Tempurejo","Tempurejo, Jember, Jawa Timur, Jawa, 68171, Indonesia",""
"","Jawa Timur","Madiun Kota","Taman","Taman, Kota Madiun, Jawa Timur, Jawa, 63139, Indonesia",""
"","Jawa Barat","Karawang","Karawang Barat","Karawang Barat, Karawang, Jawa Barat, Jawa, Indonesia",""
"","Jawa Timur","Mojokerto Kabupaten","Trowulan","Trowulan, Jambuwok, Trowulan, Mojokerto, Jawa Timur, Jawa, 61362, Indonesia",""
"JABODETABEK","DKI Jakarta","Jakarta Pusat","Menteng","Menteng, Jakarta Pusat, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"","Jawa Tengah","Semarang Kota","Banyumanik","Banyumanik, Kota Semarang, Jawa Tengah, Jawa, Indonesia",""
"JABODETABEK","Banten","Tangerang Kabupaten","Rajeg","Rajeg, Kabupaten Tangerang, Banten, Jawa, 15540, Indonesia",""
"","Jawa Tengah","Kudus","Mejobo","Mejobo, Kudus, Jawa Tengah, Jawa, 59322, Indonesia",""
"","Banten","Serang Kabupaten","Kragilan","Kragilan, Kab Serang, Banten, Jawa, 42184, Indonesia",""
"Bandung Raya","Jawa Barat","Bandung Kabupaten","Kutawaringin","Kutawaringin, Kabupaten Bandung, Jawa Barat, Jawa, 40319, Indonesia",""
"","Sulawesi Selatan","Maros","Moncongloe","Moncongloe, Maros, Sulawesi Selatan, Sulawesi, 90562, Indonesia",""
"","Jawa Tengah","Batang","Tulis","Tulis, Batang, Jawa Tengah, Jawa, 51261, Indonesia",""
"","Jawa Tengah","Pekalongan Kota","Pekalongan Utara","RSUD Kraton Kab. Pekalongan, Jl. Veteran No. 31, Dukuh, Pekalongan Utara, Kota Pekalongan, Jawa Tengah, Jalan Veteran, Kraton Kidul, Pekalongan ꦥꦼꦏꦭꦺꦴꦔꦤ꧀, Jawa Tengah, Jawa, 51117, Indonesia",""
"JABODETABEK","Jawa Barat","Bekasi","Tambun Selatan","Jl. Raya Jatimulya, Jatimulya, Kec. Tambun Sel., Kabupaten Bekasi, Jawa Barat 17510, Perum. Jatimulya Bekasi, Jatimulya, Bekasi, Kab Bekasi, Jawa Barat, Jawa, 17510, Indonesia",""
"","Jawa Tengah","Purworejo","Kutoarjo","Kutoarjo, Jalan Merpati, Semawung Daleman, Kutoarjo, Purworejo, Jawa Tengah, Jawa, 54212, Indonesia",""
"","Kepulauan Riau","Bintan","Toapaya","Toapaya, Bintan, Kepulauan Riau, Sumatera, Indonesia",""
"","Jawa Barat","Cianjur","Karangtengah","Karangtengah, Cianjur, Jawa Barat, Jawa, 43281, Indonesia",""
"","Jawa Timur","Sumenep","Saronggi","Saronggi, Sumenep, Jawa Timur, Jawa, Indonesia",""
"","Banten","Serang","Walantaka","Walantaka, Serang, Banten, Jawa, Indonesia",""
"","Banten","Serang","Baros","Baros, Kab Serang, Banten, Jawa, Indonesia",""
"","Jawa Timur","Probolinggo Kota","Kanigaran","Kanigaran, Kota Probolinggo, Jawa Timur, Jawa, 67214, Indonesia",""
"","Jawa Tengah","Rembang","Lasem","Lasem, Rembang, Jawa Tengah, Jawa, Indonesia",""
"","Sulawesi Selatan","Bone","Cina","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Cina%2C+Bone%2C+Sulawesi+Selatan","not_found"
"","Kalimantan Tengah","Kotawaringin Timur","Antang Kalang","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Antang+Kalang%2C+Kotawaringin+Timur%2C+Kalimantan+Tengah","not_found"
"","Riau","Kampar","Bangkinang Kota","Bangkinang Kota, Kampar, Riau, Sumatera, 28411, Indonesia",""
"","Jawa Timur","Ngawi","Sine","Sine, Ngawi, Jawa Timur, Jawa, 63263, Indonesia",""
"","Jawa Tengah","Brebes","Banjarharjo","Banjarharjo, Brebes, Jawa Tengah, Jawa, 52264, Indonesia",""
