original_name,aws_region,aws_sub_region,aws_municipality,display_name,search_method
"Aceh Barat","","Aceh","Aceh Barat","Aceh Barat, Aceh, Sumatera, Indonesia",""
"Aceh Barat Daya","","Aceh","Aceh Barat Daya","Aceh Barat Daya, Aceh, Sumatera, Indonesia",""
"Aceh Besar","","Aceh","Aceh Besar","Aceh Besar, Aceh, Sumatera, Indonesia",""
"Aceh Jaya","","Aceh","Aceh Jaya","Aceh Jaya, Aceh, Sumatera, Indonesia",""
"Aceh Selatan","","Aceh","Aceh Selatan","Aceh Selatan, Aceh, Sumatera, Indonesia",""
"Aceh Singkil","","Aceh","Aceh Singkil","Aceh Singkil, Aceh, Sumatera, Indonesia",""
"Aceh Tamiang","","Aceh","Aceh Tamiang","Aceh Tamiang, Aceh, Sumatera, 24476, Indonesia",""
"Aceh Tengah","","Aceh","Aceh Tengah","Aceh Tengah, Aceh, Sumatera, Indonesia",""
"Aceh Tenggara","","Aceh","Aceh Tenggara","Aceh Tenggara, Aceh, Sumatera, 24651, Indonesia",""
"Aceh Timur","","Aceh","Aceh Timur","Aceh Timur, Aceh, Sumatera, Indonesia",""
"Aceh Utara","","Aceh","Aceh Utara","Aceh Utara, Aceh, Sumatera, Indonesia",""
"Agam","","Sumatera Barat","Agam","Agam, Sumatera Barat, Sumatera, Indonesia",""
"Ambon","","Maluku","Ambon","Ambon, Maluku, Indonesia",""
"Asahan","","Sumatera Utara","Asahan","Asahan, Sumatera Utara, Sumatera, Indonesia",""
"Badung","","Bali","Badung","Badung, Bali, Nusa Tenggara, Indonesia",""
"Balangan","","Kalimantan Selatan","Balangan","Balangan, Kalimantan Selatan, 71662, Indonesia",""
"Balikpapan","","Kalimantan Timur","Balikpapan","Balikpapan, Kalimantan Timur, Indonesia",""
"Banda Aceh","","Aceh","Banda Aceh","Banda Aceh, Aceh, Sumatera, Indonesia",""
"Bandar Lampung","","Lampung","Bandar Lampung","Bandar Lampung, Lampung, Sumatera, Indonesia",""
